matrix_index,block_group
370190202051,370190202051
370190202052,370190202052
370190202053,370190202053
370190202061,370190202061
370190203041,370190203041
370190203042,370190203042
370190203043,370190203043
370190203044,370190203044
370190203045,370190203045
370190203051,370190203051
370190203052,370190203052
370190203053,370190203053
370190203061,370190203061
370190203062,370190203062
370190203071,370190203071
370190203081,370190203081
370190203082,370190203082
370190203083,370190203083
370190203111,370190203111
370190203112,370190203112
370190203113,370190203113
370190203121,370190203121
370190203122,370190203122
370190203123,370190203123
370190203131,370190203131
370190203132,370190203132
370190203133,370190203133
370190203141,370190203141
370190203151,370190203151
370190203152,370190203152
370190203153,370190203153
370190203154,370190203154
370190203161,370190203161
370190204041,370190204041
370190204042,370190204042
370190204043,370190204043
370190204051,370190204051
370190204052,370190204052
370190204053,370190204053
370190204061,370190204061
370190204062,370190204062
370190204063,370190204063
370190204071,370190204071
370190204072,370190204072
370190204073,370190204073
370190204081,370190204081
370190204082,370190204082
370190204083,370190204083
370190204091,370190204091
370190204092,370190204092
370190204093,370190204093
370190204094,370190204094
370190205041,370190205041
370190205042,370190205042
370190205043,370190205043
370190205051,370190205051
370190205052,370190205052
370190205053,370190205053
370190205081,370190205081
370190205082,370190205082
370190205083,370190205083
370190205084,370190205084
370190205101,370190205101
370190205102,370190205102
370190205103,370190205103
370190205104,370190205104
370190205111,370190205111
370190205112,370190205112
370190205113,370190205113
370190205121,370190205121
370190205122,370190205122
370190205123,370190205123
370190205124,370190205124
370190205131,370190205131
370190205132,370190205132
370190205141,370190205141
370190205142,370190205142
370190205143,370190205143
370190205151,370190205151
370190205152,370190205152
370190205153,370190205153
370190205154,370190205154
370190205161,370190205161
370190205162,370190205162
370190205163,370190205163
370190205171,370190205171
370190205172,370190205172
370190205173,370190205173
370190205174,370190205174
370190205181,370190205181
370190205182,370190205182
370190205183,370190205183
370190206011,370190206011
370190206012,370190206012
370190206013,370190206013
370190206021,370190206021
370190206022,370190206022
370190206023,370190206023
370190206031,370190206031
370190206032,370190206032
370199901000,370199901000
370210001001,370210001001
370210001002,370210001002
370210002001,370210002001
370210002002,370210002002
370210003001,370210003001
370210003002,370210003002
370210004001,370210004001
370210004002,370210004002
370210004003,370210004003
370210005001,370210005001
370210005002,370210005002
370210005003,370210005003
