,NAME,Median age,Average household size,Median year structure built,Median gross rent,Median home value,Tenure by household income,Mortgage status,Owner costs as percentage of income,state,county,tract,block_group,GOID,Malepct,Femalepct,Whitepct,AfricanAmericanpct,Asianpct,Hispanicpct,TotHousingUnitspct,OccHousingUnitspct,VacHousingUnitspct,OwnerOccHousingUnitspct,RenterOccHousingUnitspct,VacUnitsForRentpct,VacUnitsForSalepct,TotHouseholdspct,MarriedCoupleHouseholdspct,SoloFemaleHouseholdpct,SoloMaleHouseholdpct,HouseholdsWithChildrenpct
0,Alamance County,47.1,2.06,1947,690,225000,289,15.8,289,37,1,20100,1,370010201001,0.5430847212165097,0.4569152787834902,0.6987690079652426,0.19695872556118754,0.0,0.14192614047791455,0.5083272990586531,0.9316239316239316,0.06837606837606838,0.4418960244648318,0.5581039755351682,0.0,0.0,0.47356987690079655,0.41131498470948014,0.05045871559633028,0.12996941896024464,1.0
1,Alamance County,54.3,2.06,1946,1197,332500,497,18.1,497,37,1,20100,2,370010201002,0.5201342281879194,0.4798657718120805,0.8738255033557047,0.1,0.0,0.032885906040268455,0.4812080536912752,1.0,0.0,0.6931659693165969,0.3068340306834031,,,0.4812080536912752,0.48675034867503486,0.03486750348675035,0.058577405857740586,1.0
2,Alamance County,18.8,2.78,1956,582,243800,65,17.1,65,37,1,20100,3,370010201003,0.34192037470725994,0.65807962529274,0.13466042154566746,0.6686182669789227,0.0,0.2154566744730679,0.4332552693208431,0.8108108108108109,0.1891891891891892,0.21666666666666667,0.7833333333333333,0.0,0.0,0.351288056206089,0.13333333333333333,0.0,0.4766666666666667,1.0
3,Alamance County,53.9,1.95,1938,1199,217700,8,15.8,8,37,1,20100,4,370010201004,0.6144393241167435,0.38556067588325654,0.6159754224270353,0.2304147465437788,0.0,0.141321044546851,0.5698924731182796,0.8975741239892183,0.10242587601078167,0.024024024024024024,0.975975975975976,0.0,0.0,0.511520737327189,0.3633633633633634,0.0,0.10510510510510511,1.0
4,Alamance County,28.8,3.2,1963,686,125000,318,18.0,318,37,1,20200,1,370010202001,0.5052941176470588,0.49470588235294116,0.25882352941176473,0.31823529411764706,0.0,0.48764705882352943,0.3135294117647059,0.9530956848030019,0.04690431519699812,0.6259842519685039,0.37401574803149606,0.0,0.0,0.2988235294117647,0.5649606299212598,0.047244094488188976,0.20078740157480315,1.0
5,Alamance County,30.1,2.82,1948,786,150300,111,24.5,111,37,1,20200,2,370010202002,0.42234848484848486,0.5776515151515151,0.3806818181818182,0.25757575757575757,0.02462121212121212,0.4375,0.5378787878787878,0.6584507042253521,0.3415492957746479,0.5935828877005348,0.40641711229946526,0.0,0.0,0.3541666666666667,0.2620320855614973,0.058823529411764705,0.17647058823529413,1.0
6,Alamance County,24.8,2.86,1938,1083,111500,94,17.4,94,37,1,20200,3,370010202003,0.4798962386511025,0.5201037613488976,0.6108949416342413,0.2607003891050584,0.01556420233463035,0.6277561608300908,0.39169909208819714,0.8940397350993378,0.10596026490066225,0.34814814814814815,0.6518518518518519,0.0,0.0,0.35019455252918286,0.12962962962962962,0.0,0.43703703703703706,1.0
7,Alamance County,35.7,2.09,1947,889,97600,213,10.8,213,37,1,20200,4,370010202004,0.46886446886446886,0.5311355311355311,0.4014652014652015,0.48424908424908425,0.0,0.1054945054945055,0.5010989010989011,0.9532163742690059,0.04678362573099415,0.3266871165644172,0.6733128834355828,0.0,0.0,0.4776556776556777,0.22699386503067484,0.046012269938650305,0.16257668711656442,1.0
8,Alamance County,37.0,3.44,1966,940,141400,215,27.5,215,37,1,20301,1,370010203011,0.5258001306335728,0.47419986936642716,0.4611365120836055,0.24493794905290658,0.0,0.6303069888961463,0.3193990855649902,0.9038854805725971,0.09611451942740286,0.48642533936651583,0.5135746606334841,0.0,0.0,0.28870019595035923,0.6266968325791855,0.0,0.10633484162895927,1.0
9,Alamance County,36.7,2.47,1974,682,136700,81,11.9,81,37,1,20301,2,370010203012,0.5337301587301587,0.4662698412698413,0.1626984126984127,0.23677248677248677,0.0,0.5529100529100529,0.43253968253968256,0.8669724770642202,0.13302752293577982,0.14285714285714285,0.8571428571428571,0.40229885057471265,0.0,0.375,0.15343915343915343,0.08641975308641975,0.20105820105820105,1.0
10,Alamance County,50.7,1.92,1969,745,132900,328,18.3,328,37,1,20301,3,370010203013,0.3569157392686804,0.6430842607313195,0.4809220985691574,0.3656597774244833,0.0,0.14626391096979333,0.6406995230524642,0.7344913151364765,0.2655086848635236,0.5540540540540541,0.44594594594594594,0.0,0.0,0.47058823529411764,0.23648648648648649,0.0,0.3614864864864865,1.0
11,Alamance County,45.0,3.02,1966,1082,134900,331,9.0,331,37,1,20302,1,370010203021,0.49228611500701264,0.5077138849929874,0.14095371669004209,0.12692847124824685,0.0,0.6304347826086957,0.34782608695652173,0.9516129032258065,0.04838709677419355,0.701271186440678,0.298728813559322,0.0,0.0,0.33099579242636745,0.3135593220338983,0.09957627118644068,0.11016949152542373,1.0
12,Alamance County,36.9,2.74,1992,895,96900,588,18.9,588,37,1,20302,2,370010203022,0.5575221238938053,0.4424778761061947,0.42533185840707965,0.10619469026548672,0.0,0.48617256637168144,0.4391592920353982,0.8312342569269522,0.16876574307304787,0.8909090909090909,0.10909090909090909,0.0,0.0,0.36504424778761063,0.5075757575757576,0.17727272727272728,0.04696969696969697,1.0
